step,ppl,att_pct,dead_pct,norms_mu,cos_drift,frob_drift,r95,lr
200,59.61,24.08,0.00,1.03,1.0000,0.0638,754,1.00e-04
400,58.60,24.08,0.00,1.03,1.0000,0.0711,754,1.00e-04
600,57.70,24.08,0.00,1.03,1.0000,0.0708,754,1.00e-04
800,57.16,24.08,0.00,1.03,0.9999,0.0730,754,1.00e-04
1000,56.53,24.08,0.00,1.03,0.9999,0.0722,754,1.00e-04
1200,55.72,24.09,0.00,1.03,0.9999,0.0739,754,1.00e-04
1400,55.08,24.09,0.00,1.03,0.9999,0.0750,754,1.00e-04
1600,54.62,24.09,0.00,1.03,0.9999,0.0759,755,1.00e-04
1800,54.12,24.10,0.00,1.03,0.9999,0.0794,755,1.00e-04
2000,53.71,24.10,0.00,1.03,0.9999,0.0778,755,1.00e-04
2200,53.28,24.10,0.00,1.03,0.9999,0.0776,755,1.00e-04
2400,53.08,24.10,0.00,1.03,0.9999,0.0777,755,1.00e-04
2600,53.01,24.11,0.00,1.03,0.9999,0.0789,755,1.00e-04
2800,52.86,24.11,0.00,1.03,0.9999,0.0778,755,1.00e-04
3000,52.89,24.11,0.00,1.03,0.9999,0.0765,754,1.00e-04
3200,52.80,24.12,0.00,1.03,0.9999,0.0799,755,1.00e-04
3400,52.67,24.12,0.00,1.03,0.9999,0.0855,755,1.00e-04
3600,52.59,24.12,0.00,1.03,0.9999,0.0844,755,1.00e-04
3800,52.38,24.13,0.00,1.03,0.9999,0.0855,755,1.00e-04
4000,52.25,24.13,0.00,1.03,0.9999,0.0909,755,1.00e-04
4200,52.20,24.13,0.00,1.03,0.9999,0.0924,755,1.00e-04
4400,52.14,24.14,0.00,1.03,0.9999,0.0940,755,1.00e-04
4600,52.10,24.14,0.00,1.03,0.9999,0.0887,755,1.00e-04
4800,52.08,24.14,0.00,1.03,0.9999,0.0923,755,1.00e-04
5000,52.06,24.14,0.00,1.03,0.9999,0.0912,755,1.00e-04
5200,52.07,24.15,0.00,1.03,0.9999,0.0940,755,1.00e-04
5400,52.07,24.15,0.00,1.03,0.9999,0.0934,754,1.00e-04
5600,51.95,24.15,0.00,1.03,0.9999,0.0916,755,1.00e-04
5800,51.92,24.16,0.00,1.03,0.9999,0.0929,755,1.00e-04
6000,51.83,24.16,0.00,1.03,0.9999,0.0914,754,1.00e-04
6200,51.75,24.16,0.00,1.02,0.9999,0.0948,755,1.00e-04
6400,51.75,24.16,0.00,1.02,0.9999,0.0932,754,1.00e-04
6600,51.73,24.17,0.00,1.02,0.9999,0.0932,754,1.00e-04
6800,51.69,24.17,0.00,1.02,0.9999,0.0982,754,1.00e-04
7000,51.64,24.17,0.00,1.02,0.9999,0.0997,754,1.00e-04
7200,51.58,24.18,0.00,1.02,0.9999,0.0985,755,1.00e-04
7400,51.49,24.18,0.00,1.02,0.9999,0.0970,755,1.00e-04
7600,51.43,24.18,0.00,1.02,0.9999,0.0998,755,1.00e-04
7800,51.38,24.18,0.00,1.02,0.9999,0.1017,755,1.00e-04
8000,51.30,24.19,0.00,1.02,0.9999,0.1014,754,1.00e-04
8200,51.31,24.19,0.00,1.02,0.9999,0.1031,754,1.00e-04
8400,51.26,24.19,0.00,1.02,0.9999,0.1020,754,1.00e-04
8600,51.26,24.20,0.00,1.02,0.9999,0.0996,754,1.00e-04
8800,51.26,24.20,0.00,1.02,0.9999,0.1036,754,1.00e-04
9000,51.22,24.20,0.00,1.02,0.9999,0.1020,754,1.00e-04
9200,51.19,24.20,0.00,1.02,0.9998,0.1045,754,1.00e-04
9400,51.15,24.21,0.00,1.02,0.9998,0.1006,754,1.00e-04
9600,51.17,24.21,0.00,1.02,0.9998,0.1032,754,1.00e-04
9800,51.13,24.21,0.00,1.02,0.9998,0.1040,754,1.00e-04
10000,51.09,24.21,0.00,1.02,0.9998,0.1027,754,1.00e-04
10200,51.05,24.22,0.00,1.02,0.9998,0.1024,754,1.00e-04
10400,51.05,24.22,0.00,1.02,0.9998,0.1045,754,1.00e-04
10600,51.03,24.22,0.00,1.02,0.9998,0.1057,754,1.00e-04
10800,51.03,24.23,0.00,1.02,0.9998,0.1058,754,1.00e-04
11000,50.97,24.23,0.00,1.02,0.9998,0.1053,754,1.00e-04
11200,50.98,24.23,0.00,1.02,0.9998,0.1059,754,1.00e-04
11400,50.95,24.23,0.00,1.02,0.9998,0.1052,754,1.00e-04
11600,50.94,24.24,0.00,1.02,0.9998,0.1063,754,1.00e-04
11800,50.93,24.24,0.00,1.02,0.9998,0.1070,754,1.00e-04
12000,50.95,24.24,0.00,1.02,0.9998,0.1079,754,1.00e-04
12200,50.91,24.24,0.00,1.02,0.9998,0.1121,754,1.00e-04
12400,50.92,24.25,0.00,1.02,0.9998,0.1104,754,1.00e-04
12600,50.89,24.25,0.00,1.02,0.9998,0.1148,754,1.00e-04
12800,50.88,24.25,0.00,1.02,0.9998,0.1081,754,1.00e-04
13000,50.87,24.25,0.00,1.02,0.9998,0.1088,754,1.00e-04
13200,50.86,24.26,0.00,1.02,0.9998,0.1123,754,1.00e-04
13400,50.87,24.26,0.00,1.02,0.9998,0.1128,754,1.00e-04
13600,50.84,24.26,0.00,1.02,0.9998,0.1146,754,1.00e-04
13800,50.82,24.27,0.00,1.02,0.9998,0.1104,754,1.00e-04
14000,50.81,24.27,0.00,1.02,0.9998,0.1114,754,1.00e-04
14200,50.79,24.27,0.00,1.02,0.9998,0.1132,754,1.00e-04
14400,50.76,24.27,0.00,1.02,0.9998,0.1160,754,1.00e-04
14600,50.71,24.28,0.00,1.02,0.9998,0.1210,754,1.00e-04
14800,50.69,24.28,0.00,1.02,0.9998,0.1176,754,1.00e-04
15000,50.66,24.28,0.00,1.01,0.9998,0.1226,754,1.00e-04
15200,50.60,24.28,0.00,1.01,0.9998,0.1245,754,1.00e-04
15400,50.59,24.29,0.00,1.01,0.9998,0.1235,754,1.00e-04
15600,50.54,24.29,0.00,1.01,0.9997,0.1331,754,1.00e-04
15800,50.52,24.29,0.00,1.01,0.9997,0.1351,754,1.00e-04
16000,50.50,24.30,0.00,1.01,0.9997,0.1354,754,1.00e-04
16200,50.48,24.30,0.00,1.01,0.9997,0.1428,754,1.00e-04
16400,50.46,24.30,0.00,1.01,0.9997,0.1442,754,1.00e-04
16600,50.42,24.30,0.00,1.01,0.9997,0.1494,754,1.00e-04
16800,50.39,24.31,0.00,1.01,0.9997,0.1548,754,1.00e-04
17000,50.37,24.31,0.00,1.01,0.9997,0.1617,754,1.00e-04
17200,50.38,24.31,0.00,1.01,0.9997,0.1669,754,1.00e-04
17400,50.34,24.31,0.00,1.01,0.9996,0.1743,754,1.00e-04
17600,50.36,24.32,0.00,1.01,0.9996,0.1800,754,1.00e-04
17800,50.35,24.32,0.00,1.01,0.9996,0.1857,754,1.00e-04
18000,50.35,24.32,0.00,1.01,0.9996,0.1884,754,1.00e-04
18200,50.32,24.32,0.00,1.01,0.9996,0.1960,754,1.00e-04
18400,50.31,24.33,0.00,1.01,0.9996,0.1994,754,1.00e-04
18600,50.30,24.33,0.00,1.01,0.9996,0.2015,754,1.00e-04
18800,50.29,24.33,0.00,1.01,0.9996,0.2045,754,1.00e-04
19000,50.30,24.33,0.00,1.01,0.9996,0.2088,754,1.00e-04
19200,50.30,24.34,0.00,1.01,0.9996,0.2104,754,1.00e-04
19400,50.26,24.34,0.00,1.01,0.9996,0.2129,754,1.00e-04
19600,50.24,24.34,0.00,1.01,0.9995,0.2179,754,1.00e-04
19800,50.24,24.34,0.00,1.01,0.9995,0.2186,754,1.00e-04
20000,50.22,24.34,0.00,1.01,0.9995,0.2202,754,1.00e-04
20200,50.19,24.35,0.00,1.01,0.9995,0.2207,754,1.00e-04
20400,50.18,24.35,0.00,1.01,0.9995,0.2206,754,1.00e-04
20600,50.16,24.35,0.00,1.01,0.9995,0.2226,754,1.00e-04
20800,50.15,24.35,0.00,1.01,0.9995,0.2239,754,1.00e-04
21000,50.14,24.36,0.00,1.01,0.9995,0.2256,754,1.00e-04
21200,50.12,24.36,0.00,1.01,0.9995,0.2274,754,1.00e-04
21400,50.12,24.36,0.00,1.01,0.9995,0.2293,754,1.00e-04
21600,50.13,24.36,0.00,1.01,0.9995,0.2284,754,1.00e-04
21800,50.11,24.37,0.00,1.01,0.9995,0.2297,754,1.00e-04
22000,50.07,24.37,0.00,1.01,0.9995,0.2302,754,1.00e-04
22200,50.07,24.37,0.00,1.01,0.9995,0.2299,754,1.00e-04
22400,50.05,24.37,0.00,1.01,0.9995,0.2267,754,1.00e-04
22600,50.03,24.38,0.00,1.01,0.9995,0.2282,754,1.00e-04
22800,50.01,24.38,0.00,1.01,0.9995,0.2263,754,1.00e-04
23000,49.99,24.38,0.00,1.01,0.9995,0.2264,754,1.00e-04
23200,49.97,24.38,0.00,1.01,0.9995,0.2286,754,1.00e-04
23400,49.95,24.39,0.00,1.01,0.9995,0.2270,754,1.00e-04
23600,49.93,24.39,0.00,1.01,0.9995,0.2258,754,1.00e-04
23800,49.93,24.39,0.00,1.01,0.9995,0.2270,754,1.00e-04
24000,49.92,24.39,0.00,1.01,0.9995,0.2253,754,1.00e-04
24200,49.90,24.40,0.00,1.01,0.9995,0.2265,754,1.00e-04
24400,49.87,24.40,0.00,1.01,0.9995,0.2279,754,1.00e-04
24600,49.88,24.40,0.00,1.01,0.9995,0.2270,754,1.00e-04
24800,49.87,24.40,0.00,1.01,0.9995,0.2278,754,1.00e-04
25000,49.85,24.41,0.00,1.00,0.9995,0.2278,754,1.00e-04
25200,49.85,24.41,0.00,1.00,0.9994,0.2281,754,1.00e-04
25400,49.83,24.41,0.00,1.00,0.9994,0.2266,754,1.00e-04
25600,49.80,24.41,0.00,1.00,0.9994,0.2286,754,1.00e-04
25800,49.78,24.41,0.00,1.00,0.9994,0.2274,754,1.00e-04
26000,49.77,24.42,0.00,1.00,0.9994,0.2269,754,1.00e-04
26200,49.76,24.42,0.00,1.00,0.9994,0.2260,754,1.00e-04
26400,49.74,24.42,0.00,1.00,0.9994,0.2273,754,1.00e-04
26600,49.74,24.42,0.00,1.00,0.9994,0.2266,754,1.00e-04
26800,49.72,24.43,0.00,1.00,0.9994,0.2294,754,1.00e-04
27000,49.71,24.43,0.00,1.00,0.9994,0.2293,754,1.00e-04
27200,49.69,24.43,0.00,1.00,0.9994,0.2281,754,1.00e-04
27400,49.67,24.43,0.00,1.00,0.9994,0.2283,754,1.00e-04
27600,49.66,24.44,0.00,1.00,0.9994,0.2280,754,1.00e-04
27800,49.65,24.44,0.00,1.00,0.9994,0.2269,754,1.00e-04
28000,49.63,24.44,0.00,1.00,0.9994,0.2292,754,1.00e-04
28200,49.64,24.44,0.00,1.00,0.9994,0.2272,754,1.00e-04
28400,49.63,24.44,0.00,1.00,0.9994,0.2281,754,1.00e-04
28600,49.63,24.45,0.00,1.00,0.9994,0.2280,754,1.00e-04
28800,49.61,24.45,0.00,1.00,0.9994,0.2291,754,1.00e-04
29000,49.60,24.45,0.00,1.00,0.9994,0.2277,754,1.00e-04
29200,49.58,24.45,0.00,1.00,0.9994,0.2296,754,1.00e-04
29400,49.57,24.46,0.00,1.00,0.9993,0.2292,754,1.00e-04
29600,49.55,24.46,0.00,1.00,0.9993,0.2282,754,1.00e-04
29800,49.54,24.46,0.00,1.00,0.9993,0.2278,754,1.00e-04
30000,49.55,24.46,0.00,1.00,0.9993,0.2267,754,1.00e-04
30200,49.54,24.46,0.00,1.00,0.9993,0.2294,754,1.00e-04
30400,49.53,24.47,0.00,0.99,0.9993,0.2273,754,1.00e-04
30600,49.52,24.47,0.00,0.99,0.9993,0.2275,754,1.00e-04
30800,49.50,24.47,0.00,0.99,0.9993,0.2291,754,1.00e-04
31000,49.49,24.47,0.00,0.99,0.9993,0.2289,754,1.00e-04
31200,49.48,24.48,0.00,0.99,0.9993,0.2276,754,1.00e-04
31400,49.49,24.48,0.00,0.99,0.9993,0.2272,754,1.00e-04
31600,49.48,24.48,0.00,0.99,0.9993,0.2281,754,1.00e-04
31800,49.47,24.48,0.00,0.99,0.9993,0.2286,754,1.00e-04
32000,49.46,24.48,0.00,0.99,0.9993,0.2276,754,1.00e-04
32200,49.45,24.48,0.00,0.99,0.9993,0.2299,754,1.00e-04
32400,49.43,24.49,0.00,0.99,0.9993,0.2288,754,1.00e-04
32600,49.43,24.49,0.00,0.99,0.9993,0.2302,754,1.00e-04
32800,49.43,24.49,0.00,0.99,0.9993,0.2297,754,1.00e-04
33000,49.41,24.49,0.00,0.99,0.9993,0.2298,754,1.00e-04
33200,49.40,24.50,0.00,0.99,0.9993,0.2300,754,1.00e-04
33400,49.39,24.50,0.00,0.99,0.9993,0.2311,754,1.00e-04
33600,49.37,24.50,0.00,0.99,0.9993,0.2314,754,1.00e-04
33800,49.37,24.50,0.00,0.99,0.9993,0.2305,754,1.00e-04
34000,49.35,24.50,0.00,0.99,0.9993,0.2325,754,1.00e-04
34200,49.36,24.51,0.00,0.99,0.9993,0.2310,754,1.00e-04
34400,49.34,24.51,0.00,0.99,0.9992,0.2334,754,1.00e-04
34600,49.33,24.51,0.00,0.99,0.9992,0.2344,754,1.00e-04
34800,49.33,24.51,0.00,0.99,0.9992,0.2340,754,1.00e-04
35000,49.32,24.51,0.00,0.99,0.9992,0.2333,754,1.00e-04
35200,49.30,24.52,0.00,0.99,0.9992,0.2338,754,1.00e-04
35400,49.28,24.52,0.00,0.99,0.9992,0.2333,754,1.00e-04
35600,49.28,24.52,0.00,0.99,0.9992,0.2306,754,1.00e-04
35800,49.28,24.52,0.00,0.99,0.9992,0.2319,754,1.00e-04
36000,49.26,24.52,0.00,0.99,0.9992,0.2317,754,1.00e-04
36200,49.25,24.53,0.00,0.99,0.9992,0.2336,754,1.00e-04
36400,49.24,24.53,0.00,0.99,0.9992,0.2349,754,1.00e-04
36600,49.23,24.53,0.00,0.99,0.9992,0.2370,754,1.00e-04
36800,49.22,24.53,0.00,0.99,0.9992,0.2373,754,1.00e-04
37000,49.21,24.53,0.00,0.99,0.9992,0.2385,754,1.00e-04
37200,49.20,24.53,0.00,0.99,0.9992,0.2371,754,1.00e-04
37400,49.19,24.54,0.00,0.99,0.9992,0.2368,754,1.00e-04
37600,49.16,24.54,0.00,0.99,0.9992,0.2387,754,1.00e-04
37800,49.15,24.54,0.00,0.99,0.9992,0.2404,754,1.00e-04
38000,49.14,24.54,0.00,0.99,0.9992,0.2395,754,1.00e-04
38200,49.13,24.54,0.00,0.99,0.9992,0.2374,754,1.00e-04
38400,49.12,24.55,0.00,0.99,0.9992,0.2392,754,1.00e-04
38600,49.12,24.55,0.00,0.99,0.9992,0.2388,754,1.00e-04
38800,49.11,24.55,0.00,0.99,0.9992,0.2401,754,1.00e-04
39000,49.09,24.55,0.00,0.99,0.9992,0.2400,754,1.00e-04
39200,49.08,24.55,0.00,0.98,0.9992,0.2410,754,1.00e-04
39400,49.07,24.56,0.00,0.98,0.9992,0.2391,754,1.00e-04
39600,49.06,24.56,0.00,0.98,0.9992,0.2401,754,1.00e-04
39800,49.06,24.56,0.00,0.98,0.9992,0.2395,754,1.00e-04
40000,49.05,24.56,0.00,0.98,0.9992,0.2378,754,1.00e-04
40200,49.04,24.56,0.00,0.98,0.9992,0.2398,754,1.00e-04
40400,49.03,24.57,0.00,0.98,0.9991,0.2421,754,1.00e-04
40600,49.02,24.57,0.00,0.98,0.9991,0.2416,754,1.00e-04
40800,49.01,24.57,0.00,0.98,0.9991,0.2442,754,1.00e-04
41000,48.99,24.57,0.00,0.98,0.9991,0.2448,754,1.00e-04
41200,48.98,24.57,0.00,0.98,0.9991,0.2420,754,1.00e-04
41400,48.97,24.58,0.00,0.98,0.9991,0.2420,754,1.00e-04
41600,48.97,24.58,0.00,0.98,0.9991,0.2439,754,1.00e-04
41800,48.96,24.58,0.00,0.98,0.9991,0.2440,754,1.00e-04
42000,48.95,24.58,0.00,0.98,0.9991,0.2450,754,1.00e-04
42200,48.94,24.58,0.00,0.98,0.9991,0.2434,754,1.00e-04
42400,48.92,24.58,0.00,0.98,0.9991,0.2431,754,1.00e-04
42600,48.91,24.59,0.00,0.98,0.9991,0.2444,754,1.00e-04
42800,48.89,24.59,0.00,0.98,0.9991,0.2438,754,1.00e-04
43000,48.88,24.59,0.00,0.98,0.9991,0.2440,754,1.00e-04
43200,48.88,24.59,0.00,0.98,0.9991,0.2435,754,1.00e-04
43400,48.86,24.59,0.00,0.98,0.9991,0.2440,754,1.00e-04
43600,48.86,24.60,0.00,0.98,0.9991,0.2427,754,1.00e-04
43800,48.84,24.60,0.00,0.98,0.9991,0.2459,754,1.00e-04
44000,48.83,24.60,0.00,0.98,0.9991,0.2456,754,1.00e-04
44200,48.82,24.60,0.00,0.98,0.9991,0.2432,754,1.00e-04
44400,48.80,24.60,0.00,0.98,0.9991,0.2453,754,1.00e-04
44600,48.79,24.60,0.00,0.98,0.9991,0.2442,754,1.00e-04
44800,48.78,24.61,0.00,0.98,0.9991,0.2448,754,1.00e-04
45000,48.77,24.61,0.00,0.98,0.9991,0.2441,754,1.00e-04
45200,48.76,24.61,0.00,0.98,0.9991,0.2451,754,1.00e-04
45400,48.75,24.61,0.00,0.98,0.9990,0.2457,754,1.00e-04
45600,48.73,24.61,0.00,0.98,0.9990,0.2457,754,1.00e-04
45800,48.72,24.62,0.00,0.98,0.9990,0.2458,754,1.00e-04
46000,48.72,24.62,0.00,0.98,0.9990,0.2438,754,1.00e-04
46200,48.71,24.62,0.00,0.98,0.9990,0.2445,754,1.00e-04
46400,48.71,24.62,0.00,0.97,0.9990,0.2426,754,1.00e-04
46600,48.69,24.62,0.00,0.97,0.9990,0.2441,754,1.00e-04
46800,48.68,24.62,0.00,0.97,0.9990,0.2458,754,1.00e-04
47000,48.67,24.63,0.00,0.97,0.9990,0.2449,754,1.00e-04
47200,48.65,24.63,0.00,0.97,0.9990,0.2461,754,1.00e-04
47400,48.65,24.63,0.00,0.97,0.9990,0.2456,754,1.00e-04
47600,48.63,24.63,0.00,0.97,0.9990,0.2465,754,1.00e-04
47800,48.62,24.63,0.00,0.97,0.9990,0.2431,754,1.00e-04
48000,48.61,24.63,0.00,0.97,0.9990,0.2425,754,1.00e-04
48200,48.60,24.64,0.00,0.97,0.9990,0.2436,754,1.00e-04
48400,48.58,24.64,0.00,0.97,0.9990,0.2440,754,1.00e-04
48600,48.57,24.64,0.00,0.97,0.9990,0.2433,754,1.00e-04
48800,48.55,24.64,0.00,0.97,0.9990,0.2432,754,1.00e-04
